arch,task,model,ablation,ptp,max_seq_num,embseed,sampleseed,metric,value
protxlstm,evolution_remote_homology_tape_rh_processed_flatten,onehot,onehot,0.0,200,seed-42,none,train_loss,[6.744391947376485]
protxlstm,evolution_remote_homology_tape_rh_processed_flatten,onehot,onehot,0.0,200,seed-42,none,val_loss,[7.0813883145650225]
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_flatten,onehot,onehot,0.0,200,seed-42,none,test_loss,[7.109317493438721]
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_flatten,onehot,onehot,0.0,200,seed-42,none,test_performance_2,[0.0]
protxlstm,evolution_remote_homology_tape_rh_processed_test-family-holdout_flatten,onehot,onehot,0.0,200,seed-42,none,test_performance_1,[0.0]
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_flatten,onehot,onehot,0.0,200,seed-42,none,test_loss,[7.088885879516601]
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_flatten,onehot,onehot,0.0,200,seed-42,none,test_performance_2,[0.0]
protxlstm,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_flatten,onehot,onehot,0.0,200,seed-42,none,test_performance_1,[0.001594896331738437]
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_flatten,onehot,onehot,0.0,200,seed-42,none,test_loss,[7.102963765462239]
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_flatten,onehot,onehot,0.0,200,seed-42,none,test_performance_2,[0.0]
protxlstm,evolution_remote_homology_tape_rh_processed_test-fold-holdout_flatten,onehot,onehot,0.0,200,seed-42,none,test_performance_1,[0.0]
protxlstm,annotation_scl_balanced_flatten,onehot,onehot,0.0,200,seed-42,none,train_loss,[0.31603935909898656]
protxlstm,annotation_scl_balanced_flatten,onehot,onehot,0.0,200,seed-42,none,val_loss,[1.3928092122077942]
protxlstm,annotation_scl_balanced_flatten,onehot,onehot,0.0,200,seed-42,none,test_loss,[2.041522741317749]
protxlstm,annotation_scl_balanced_flatten,onehot,onehot,0.0,200,seed-42,none,test_performance_2,[0.37142857142857144]
protxlstm,annotation_scl_balanced_flatten,onehot,onehot,0.0,200,seed-42,none,test_performance_1,[0.6616655068829873]
protxlstm,structure_secondary_structure_tape_ss3_processed_noflatten,onehot,onehot,0.0,200,seed-42,none,train_loss,[1.0090033999861103]
protxlstm,structure_secondary_structure_tape_ss3_processed_noflatten,onehot,onehot,0.0,200,seed-42,none,val_loss,[1.0055162059633356]
protxlstm,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,onehot,onehot,0.0,200,seed-42,none,test_loss,[0.9968379735946655]
protxlstm,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,onehot,onehot,0.0,200,seed-42,none,test_performance_2,[0.49090407938257996]
protxlstm,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,onehot,onehot,0.0,200,seed-42,none,test_performance_1,[0.6382030235650744]
protxlstm,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,onehot,onehot,0.0,200,seed-42,none,test_loss,[1.0111436128616333]
protxlstm,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,onehot,onehot,0.0,200,seed-42,none,test_performance_2,[0.48816846771958994]
protxlstm,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,onehot,onehot,0.0,200,seed-42,none,test_performance_1,[0.6405473742082511]
protxlstm,structure_secondary_structure_tape_ss3_processed_ts115_noflatten,onehot,onehot,0.0,200,seed-42,none,test_loss,[0.9908641576766968]
protxlstm,structure_secondary_structure_tape_ss3_processed_ts115_noflatten,onehot,onehot,0.0,200,seed-42,none,test_performance_2,[0.5098976568812281]
